trial,failure_kind,recovered,loss,ska_delta,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip
1285,oom,True,4.238752782344818,0.07487940788269043,3,full,24,4,32,6,late,0.028465288926795732,0.26080663580383084,1.0,1.05,1,one,0.005486482056997377,0.15,0.06,1.0
1301,quota,True,4.260834097862244,0.027685105800628662,3,full,16,4,8,4,late,0.0040920108991627105,0.04977515328822274,1.0,1.0,1,linear,0.005280528371802042,0.15,0.06,1.0
1415,oom,True,4.269207298755646,0.14666563272476196,3,lean,32,8,32,3,midlate,0.008170527728845484,0.09637778624083201,0.75,0.9,1,linear,0.004342952347530506,0.1,0.04,1.0
1649,oom,True,4.177573025226593,0.19402003288269043,3,full,32,8,32,6,late,0.014951401693209217,0.1363252311146641,0.8164965809277261,0.9,1,linear,0.005318714414028284,0.1,0.06,0.5
1827,oom,True,4.198976159095764,0.19872355461120605,3,full,16,8,32,6,late,0.023361824845799562,0.17215156286908068,0.8164965809277261,1.05,1,linear,0.0046393884305154865,0.1,0.06,1.0
1920,quota,False,,,,,,,,,,,,,,,,,,,
1960,oom,True,4.213825821876526,0.18157100677490234,3,full,32,2,32,6,midlate,0.01483378094450548,0.10388242012021077,0.75,1.0,1,linear,0.004971675101301001,0.1,0.01,1.0
552,oom,True,4.235716998577118,0.17284035682678223,3,full,24,8,32,6,late,0.006486989811543355,0.05838059280379311,1.25,1.05,1,linear,0.004425351880231309,0.1,0.06,1.0
583,quota,False,,,3,full,24,2,16,4,midlate,0.020359654999541277,0.06292080215660319,1.25,0.9,2,linear,0.003846435382534958,0.15,0.06,1.0
603,oom,True,4.244951605796814,0.18433666229248047,3,full,24,4,32,4,midlate,0.010915338905101024,0.15759678781438252,1.25,1.05,1,linear,0.004548149730878522,0.15,0.01,1.0
654,oom,True,4.320110380649567,0.06673717498779297,3,full,24,4,32,6,even,0.004712845461899101,0.03181811708922513,0.75,1.05,1,head_scalar,0.00417006105338572,0.15,0.02,1.0
733,oom,True,4.201116502285004,0.15094542503356934,3,full,16,1,32,4,late,0.007256250717716067,0.009363287090817695,1.25,0.9,1,linear,0.005043046745932094,0.15,0.06,1.0
752,oom,True,4.238606154918671,0.14287185668945312,3,full,24,1,24,6,late,0.01580918570008939,0.1512261879162806,1.25,1.05,1,linear,0.004666608153612335,0.15,0.06,0.5
